country,Year,inequality,inequality Z,inflation,Inflation Z,GDP,GDP Z,Unemployment,Unemployment Z,,,,,,,
Germany,1991,0.29492873,-0.761599061,4.047033,-0.079676625,38294.156,0.228446759,5.32,-0.821034053,,,,,,inequality mean,0.33004005
Germany,1992,0.29031813,-0.861607509,5.0569777,0.042671779,38734.938,0.261983489,6.32,-0.560309014,,,,,,inequality sd,0.046102105
Germany,1993,0.2854154,-0.967952544,4.4745765,-0.027882438,38105.23,0.214072396,7.68,-0.205722961,,,,,,inflation mean,4.704736598
Germany,1994,0.29159415,-0.833929381,2.6930563,-0.243702328,38881.57,0.273139929,8.73,0.06803833,,,,,,inflation sd,8.254661818
Germany,1995,0.28665972,-0.94096202,1.7061604,-0.363258516,39366.09,0.310004449,8.16,-0.080574942,,,,,,GDP mean,35291.62066
Germany,1996,0.28020903,-1.08088383,1.449727,-0.394323798,39568.6,0.325412345,8.82,0.091503584,,,,,,GDP sd,13143.26085
Germany,1997,0.28332725,-1.013246571,1.939372,-0.335006407,40218.848,0.374886217,9.86,0.362657625,,,,,,Unemployment mean,8.469041825
Germany,1998,0.28148276,-1.053255373,0.91118354,-0.459564927,41022.613,0.436040371,9.79,0.344406872,,,,,,Unemployment sd,3.835458241
Germany,1999,0.2902921,-0.862172126,0.58543307,-0.499027534,41769.812,0.492890723,8.85,0.099325335,,,,,,,
Germany,2000,0.28780577,-0.916103068,1.4402684,-0.395469647,42928.18,0.581024711,7.92,-0.143148951,,,,,,,
Germany,2001,0.29949388,-0.662576469,1.9838573,-0.329617295,43576.637,0.630362315,7.77,-0.182257707,,,,,,,
Germany,2002,0.2986499,-0.680883225,1.4208062,-0.39782737,43417.31,0.618239981,8.48,0.002857071,,,,,,,
Germany,2003,0.2989323,-0.674757691,1.0342222,-0.444659573,43089.473,0.593296628,9.78,0.341799621,,,,,,,
Germany,2004,0.30164394,-0.615939553,1.6657369,-0.368155567,43605.277,0.632541379,10.73,0.589488409,,,,,,,
Germany,2005,0.3158797,-0.307151919,1.5469111,-0.38255056,43949.29,0.658715477,11.17,0.704207426,,,,,,,
Germany,2006,0.3104196,-0.425586858,1.5774264,-0.378853824,45678.082,0.790249958,10.25,0.46434039,,,,,,,
Germany,2007,0.31145447,-0.40313951,2.298344,-0.291519223,47100.61,0.89848246,8.66,0.049787578,,,,,,,
Germany,2008,0.30904445,-0.455415213,2.6283798,-0.251537476,47643.223,0.939766963,7.52,-0.247438967,,,,,,,
Germany,2009,0.30479428,-0.54760558,0.312739,-0.532062693,45044.49,0.742043352,7.74,-0.190079458,,,,,,,
Germany,2010,0.3025288,-0.596746069,1.1038104,-0.436229403,46999.24,0.890769762,6.97,-0.390837739,,,,,,,
Germany,2011,0.30668032,-0.506695518,2.075173,-0.318554976,49757.926,1.100663336,5.82,-0.690671534,,,,,,,
Germany,2012,0.3105579,-0.422586995,2.008489,-0.32663332,49872.45,1.109376851,5.38,-0.805390551,,,,,,,
Germany,2013,0.31473666,-0.331945581,1.5047233,-0.387661344,49954.17,1.115594486,5.23,-0.844499307,,,,,,,
Germany,2014,0.30871856,-0.462484088,0.906794,-0.460096692,50845.527,1.183413044,4.98,-0.909680566,,,,,,,
Germany,2015,0.31443062,-0.338583889,0.5144261,-0.507629578,51159.297,1.207286115,4.62,-1.00354158,,,,,,,
Germany,2016,0.31390682,-0.349945626,0.49174702,-0.510377005,51879.67,1.262095421,4.12,-1.1339041,,,,,,,
Germany,2017,0.31851348,-0.250022641,1.5094949,-0.387083295,53071.457,1.352772081,3.75,-1.230372365,,,,,,,
Germany,2018,0.3179069,-0.263179958,1.7321688,-0.360107763,53431.395,1.380157827,3.38,-1.326840629,,,,,,,
Germany,2019,0.31719428,-0.278637386,1.4456598,-0.394816513,53884.375,1.414622638,3.14,-1.389414638,,,,,,,
Russia,1996,0.46103463,2.841401257,47.75201,5.214904542,12827.116,-1.709203288,9.67,0.313119867,,,,,,,
Russia,1997,0.38409233,1.172447105,14.76133,1.218292599,13028.208,-1.69390328,11.81,0.871071451,,,,,,,
Russia,1998,0.3813704,1.113405767,27.68568,2.783995748,12358.152,-1.744884235,13.26,1.249122758,,,,,,,
Russia,1999,0.37443444,0.962957974,85.74649,9.817695163,13189.794,-1.68160907,13.04,1.191763249,,,,,,,
Russia,2000,0.3709283,0.886906349,20.798761,1.949689128,14569.937,-1.576601415,10.58,0.550379653,,,,,,,
Russia,2001,0.36925116,0.850527533,21.477007,2.031854336,15378.09,-1.515113402,8.98,0.13321959,,,,,,,
Russia,2002,0.3728383,0.928336127,15.788731,1.342755724,16175.098,-1.454473352,7.88,-0.153577953,,,,,,,
Russia,2003,0.3997157,1.511333364,13.663293,1.085272371,17434.809,-1.35862872,8.21,-0.06753869,,,,,,,
Russia,2004,0.40315843,1.586009564,10.888616,0.749137825,18765.52,-1.25738208,7.76,-0.184864958,,,,,,,
Russia,2005,0.41265607,1.792022715,12.685304,0.966795197,20042.814,-1.160199652,7.12,-0.351728983,,,,,,,
Russia,2006,0.4095095,1.723770518,9.668654,0.601347155,21757.465,-1.029741083,7.06,-0.367372485,,,,,,,
Russia,2007,0.42272472,2.010421635,9.007298,0.521228064,23647.266,-0.885956293,6,-0.643741026,,,,,,,
Russia,2008,0.41568586,1.85774184,14.110767,1.139481012,24887.854,-0.791566627,6.21,-0.588988768,,,,,,,
Russia,2009,0.398456,1.484009233,11.647329,0.8410511,22939.693,-0.939791715,8.3,-0.044073436,,,,,,,
Russia,2010,0.39548978,1.419669004,6.8493924,0.259811468,23961.22,-0.862069222,7.37,-0.286547723,,,,,,,
Russia,2011,0.39749315,1.463124069,8.440465,0.452559836,24972.078,-0.785158476,6.54,-0.502949505,,,,,,,
Russia,2012,0.40714827,1.672553117,5.074743,0.044823932,25933.293,-0.712024799,5.44,-0.789747048,,,,,,,
Russia,2013,0.40884423,1.709340157,6.7537103,0.248220187,26332.396,-0.681659199,5.46,-0.784532548,,,,,,,
Russia,2014,0.3988122,1.491735561,7.823412,0.377807773,26057.156,-0.702600729,5.16,-0.862750059,,,,,,,
Russia,2015,0.37740842,1.027466524,15.534405,1.311945739,25488.096,-0.745897443,5.57,-0.755852793,,,,,,,
Russia,2016,0.368485,0.833908769,7.0424476,0.283198882,25490.709,-0.745698634,5.56,-0.758460044,,,,,,,
Russia,2017,0.37239072,0.918627677,3.6833293,-0.123737025,25926.443,-0.712545978,5.21,-0.849713807,,,,,,,
Russia,2018,0.37473005,0.969370045,2.8782973,-0.221261554,26656.41,-0.657006717,4.85,-0.943574821,,,,,,,
Russia,2019,0.37691438,1.016750311,4.4703665,-0.028392453,27254.574,-0.611495637,4.5,-1.034828585,,,,,,,
Russia,2020,0.3602981,0.656326857,3.3816593,-0.160282435,26586.555,-0.662321608,5.59,-0.750638293,,,,,,,
U.K,1991,0.34962818,0.4248858,7.461783,0.33399871,30226.027,-0.385413766,8.55,0.021107823,,,,,,,
U.K,1992,0.34955472,0.42329238,4.5915494,-0.013711912,30265.3,-0.382425695,9.77,0.339192371,,,,,,,
U.K,1993,0.3507596,0.449427412,2.558578,-0.259993522,30944.58,-0.330742934,10.35,0.490412894,,,,,,,
