country,Year,inequality,inflation,GDP,Unemployment
Germany,1991,0.29492873,4.047033,38294.156,5.32
Germany,1992,0.29031813,5.0569777,38734.938,6.32
Germany,1993,0.2854154,4.4745765,38105.23,7.68
Germany,1994,0.29159415,2.6930563,38881.57,8.73
Germany,1995,0.28665972,1.7061604,39366.09,8.16
Germany,1996,0.28020903,1.449727,39568.6,8.82
Germany,1997,0.28332725,1.939372,40218.848,9.86
Germany,1998,0.28148276,0.91118354,41022.613,9.79
Germany,1999,0.2902921,0.58543307,41769.812,8.85
Germany,2000,0.28780577,1.4402684,42928.18,7.92
Germany,2001,0.29949388,1.9838573,43576.637,7.77
Germany,2002,0.2986499,1.4208062,43417.31,8.48
Germany,2003,0.2989323,1.0342222,43089.473,9.78
Germany,2004,0.30164394,1.6657369,43605.277,10.73
Germany,2005,0.3158797,1.5469111,43949.29,11.17
Germany,2006,0.3104196,1.5774264,45678.082,10.25
Germany,2007,0.31145447,2.298344,47100.61,8.66
Germany,2008,0.30904445,2.6283798,47643.223,7.52
Germany,2009,0.30479428,0.312739,45044.49,7.74
Germany,2010,0.3025288,1.1038104,46999.24,6.97
Germany,2011,0.30668032,2.075173,49757.926,5.82
Germany,2012,0.3105579,2.008489,49872.45,5.38
Germany,2013,0.31473666,1.5047233,49954.17,5.23
Germany,2014,0.30871856,0.906794,50845.527,4.98
Germany,2015,0.31443062,0.5144261,51159.297,4.62
Germany,2016,0.31390682,0.49174702,51879.67,4.12
Germany,2017,0.31851348,1.5094949,53071.457,3.75
Germany,2018,0.3179069,1.7321688,53431.395,3.38
Germany,2019,0.31719428,1.4456598,53884.375,3.14
Russia,1996,0.46103463,47.75201,12827.116,9.67
Russia,1997,0.38409233,14.76133,13028.208,11.81
Russia,1998,0.3813704,27.68568,12358.152,13.26
Russia,2000,0.3709283,20.798761,14569.937,10.58
Russia,2001,0.36925116,21.477007,15378.09,8.98
Russia,2002,0.3728383,15.788731,16175.098,7.88
Russia,2003,0.3997157,13.663293,17434.809,8.21
Russia,2004,0.40315843,10.888616,18765.52,7.76
Russia,2005,0.41265607,12.685304,20042.814,7.12
Russia,2006,0.4095095,9.668654,21757.465,7.06
Russia,2007,0.42272472,9.007298,23647.266,6
Russia,2008,0.41568586,14.110767,24887.854,6.21
Russia,2009,0.398456,11.647329,22939.693,8.3
Russia,2010,0.39548978,6.8493924,23961.22,7.37
Russia,2011,0.39749315,8.440465,24972.078,6.54
Russia,2012,0.40714827,5.074743,25933.293,5.44
Russia,2013,0.40884423,6.7537103,26332.396,5.46
Russia,2014,0.3988122,7.823412,26057.156,5.16
Russia,2015,0.37740842,15.534405,25488.096,5.57
Russia,2016,0.368485,7.0424476,25490.709,5.56
Russia,2017,0.37239072,3.6833293,25926.443,5.21
Russia,2018,0.37473005,2.8782973,26656.41,4.85
Russia,2019,0.37691438,4.4703665,27254.574,4.5
Russia,2020,0.3602981,3.3816593,26586.555,5.59
